RootImage,ActualSum,ExpectedSum
nCO1 Control 04-30 13,75,88
ACO1 Control 04-30 22,43,45
nCO1 Control 04-30 12,69,78
ACO1 Control 04-30 23,61,68
ACO1 Control 04-30 7,73,65
nCO1 Control 04-30 20,85,91
nCO1 Control 04-30 17,98,98
nCO1 Control 04-30 24,52,62
ACO1 Control 04-30 47,32,33
nCO1 Control 04-30 14,68,83
nCO1 Control 04-30 15,69,78
ACO1 Lithium 04-30 50,38,44
AO1 Lithium 04-30 1,29,41
ACO1 Lithium 04-30 44,56,60
AO1 Lithium 04-30 25,46,46
ACO1 Control 04-30 44,52,54
nCO1 Control 04-30 22,74,82
AO1 Lithium 04-30 7,53,58
nCO1 Control 04-30 8,47,69
nCO1 Control 04-30 23,101,103
nCO1 Control 04-30 18,76,86
AO1 Lithium 04-30 22,22,21
ACO1 Control 04-30 37,31,32
nCO1 Control 04-30 10,86,79
nCO1 Control 04-30 11,117,124
ACO1 Lithium 04-30 37,80,75
ACO1 Control 04-30 31,75,82
nCO1 Control 04-30 3,63,66
AO1 Lithium 04-30 11,37,39
nCO1 Control 04-30 7,44,59
ACO1 Control 04-30 34,44,42
ACO1 Lithium 04-30 38,56,50
ACO1 Lithium 04-30 31,32,28
AO1 Lithium 04-30 18,42,38
ACO1 Control 04-30 6,48,45
nCO1 Control 04-30 4,62,70
AO1 Lithium 04-30 12,32,32
nCO1 Control 04-30 16,79,85
ACO1 Lithium 04-30 33,45,48
nCO1 Control 04-30 9,78,88
nCO1 Control 04-30 5,79,79
AO1 Lithium 04-30 16,31,31
ACO1 Control 04-30 11,35,35
nCO1 Control 04-30 1,49,56
ACO1 Control 04-30 29,20,32
nCO1 Control 04-30 21,48,45
ACO1 Lithium 04-30 27,37,42
ACO1 Control 04-30 2,22,31
ACO1 Control 04-30 32,45,44
ACO1 Lithium 04-30 39,40,41
ACO1 Control 04-30 5,32,31
ACO1 Lithium 04-30 41,52,53
ACO1 Control 04-30 46,60,70
ACO1 Control 04-30 19,46,51
ACO1 Control 04-30 12,33,41
ACO1 Control 04-30 14,34,37
ACO1 Lithium 04-30 36,30,29
ACO1 Control 04-30 28,19,28
ACO1 Lithium 04-30 42,41,36
ACO1 Control 04-30 50,29,31
ACO1 Lithium 04-30 29,46,45
ACO1 Control 04-30 39,37,49
nCO1 Control 04-30 6,67,79
ACO1 Control 04-30 26,58,48
ACO1 Control 04-30 35,47,59
ACO1 Control 04-30 13,98,98
ACO1 Control 04-30 43,31,31
ACO1 Lithium 04-30 43,57,56
ACO1 Control 04-30 42,33,37
ACO1 Control 04-30 17,33,38
AO1 Lithium 04-30 17,30,35
AO1 Lithium 04-30 2,26,32
ACO1 Control 04-30 16,41,46
ACO1 Lithium 04-30 48,50,47
nCO1 Control 04-30 2,72,85
ACO1 Control 04-30 20,22,24
ACO1 Control 04-30 15,32,38
AO1 Lithium 04-30 10,48,43
ACO1 Lithium 04-30 26,52,44
nCO1 Control 04-30 19,71,79
ACO1 Lithium 04-30 35,45,41
AO1 Lithium 04-30 20,35,40
ACO1 Control 04-30 18,45,42
ACO1 Control 04-30 48,41,46
ACO1 Control 04-30 36,37,33
AO1 Lithium 04-30 5,23,22
ACO1 Lithium 04-30 34,34,39
ACO1 Control 04-30 49,25,23
AO1 Lithium 04-30 3,27,25
ACO1 Control 04-30 21,50,49
AO1 Lithium 04-30 15,43,43
ACO1 Lithium 04-30 32,29,32
ACO1 Control 04-30 3,35,36
ACO1 Control 04-30 27,45,51
AO1 Lithium 04-30 9,28,35
ACO1 Control 04-30 30,11,8
nCO1 Control 04-30 25,36,50
AO1 Lithium 04-30 14,32,35
ACO1 Control 04-30 1,28,23
ACO1 Lithium 04-30 46,34,34
ACO1 Control 04-30 38,41,42
AO1 Lithium 04-30 4,31,40
AO1 Lithium 04-30 21,24,18
ACO1 Control 04-30 25,10,5
ACO1 Control 04-30 9,10,9
ACO1 Control 04-30 41,24,20
ACO1 Lithium 04-30 40,23,15
ACO1 Lithium 04-30 45,20,15
ACO1 Control 04-30 33,8,4
ACO1 Control 04-30 24,5,3
AO1 Lithium 04-30 6,3,5
AO1 Lithium 04-30 13,0,0
ACO1 Lithium 04-30 28,0,0
ACO1 Control 04-30 40,10,5
ACO1 Lithium 04-30 30,0,0
AO1 Lithium 04-30 23,1,0
AO1 Lithium 04-30 24,3,1
ACO1 Lithium 04-30 47,0,0
ACO1 Control 04-30 8,0,0
ACO1 Control 04-30 4,0,0
ACO1 Lithium 04-30 49,0,0
ACO1 Control 04-30 45,0,0
AO1 Lithium 04-30 19,1,0
AO1 Lithium 04-30 8,7,6
ACO1 Control 04-30 10,0,0
